0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Moti	27.00
Střih	Číslo výrobku	EAN	Název	Typ výrobku	Provedení	S	MJ	Počet	Orintace	RAL	Barva základní části	Vzor	RAL	Barva dna, kapsy	Vzor	Typ	Materiál	Délka (m)	Šířka (mm)	Barva			Uchycení			NC-P	PC-P
001	001-05-01/0036	8595700111023	KLÁRA	Kabelka	0036	A	ks	1	Vodorovně	6007	Lahvově zelená				 -	Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Kapsa, Nášivka Design Ali - Sahara	Mosaz	670.00	1074.38
001	001-05-01/0037	8595700111030	KLÁRA	Kabelka	0037	A	ks	3	Vodorovně	8028	Zemní hnědá			Sluneční žlutá, zelená	 -	Popruh	Kůže	1,3	17	8028	Zemní hnědá		Karabiny	Pruhy 3 - hnědá, želená a žlutá	NIkl	750.00	1174.38
001	001-05-01/0038	8595700111214	KLÁRA	Kabelka	0038	A	ks	3	Vodorovně	8028	Zemní hnědá		6008	Hnědozelená		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - zemní hnědá, tajga, černá	NIkl	509.03	801.65
001	001-05-01/0039	8595700111221	KLÁRA	Kabelka	0039	A	ks	2	Vodorovně	9005	Černá			Krajka šedá	 -	Popruh	Bavlna	1,3	25	9005	Černá		Karabiny	Pruhy 3 - černá, krajka uprostřed	NIkl	509.03	801.65
001	001-05-01/0040	8595700111238	KLÁRA	Kabelka	0040	A	ks	3	Vodorovně	9005	Černá			Krajka šedá	 -	Popruh	Kůže	1,3	17	9005	Černá		Karabiny	Přední strana šedá krajka, zadní stran černá	NIkl	750.00	1174.38
001	001-05-01/0041	8595700111603	KLÁRA	Kabelka	0041	A	ks	1	Vodorovně	5024	Pastelová modrá				 -	Popruh	Kůže	1,3	17	5024	Pastelově modrá		Karabiny	Přední kapsa, popruh pošitý stejným papírem	NIkl	670.00	1074.38
001	001-05-01/0042	8595700111894	KLÁRA	Kabelka	0042	A	ks	2	Vodorovně	9005	Černá			Hnědozlatá folie	 -	Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 6 - černá, folie hnědozlatá	NIkl	559.03	901.65
001	001-05-01/0043		KLÁRA	Kabelka	0043	A	ks	3	Vodorovně	5022	Noční modrá		1037	Sluneční žlutá		Popruh	Kůže	1,3	30	7035	Světle šedá		Karabiny	Pruhy více - tmavě modrá, šedá, tmavá skořice	Nikl	670.00	1074.38
001	001-05-01/0044		KLÁRA	Kabelka	0044	A	ks	7	Vodorovně	9005	Černá		7039	Křemenná šedá		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy více - černá, tmavé stříbro různé šířky	Nikl		
001	001-05-01/0045		KLÁRA	Kabelka	0045	A	ks	4	Vodorovně	8028	Zemní hnědá		7039	Křemenná šedá		Popruh	Kůže	1,3	17	8028	Zemní hnědá		Karabiny	Pruhy 4 - hnědá, pruhy folie hnědozlatá různé šířky	Nikl	670.00	1074.38
